Muestra;Tiempo [min];Hora;Temperatura Lauda;Temperatura Agua
1;0;13:09:00;17,7;15,6
2;5;13:14:00;16,3;16,5
3;10;13:19:00;14,9;16,3
4;15;13:24:00;13,7;16,2
5;20;13:29:00;12,7;15,9
6;25;13:34:00;11,9;15,5
7;30;13:39:00;11,2;14,8
8;35;13:44:00;10,5;14,4
9;40;13:49:00;9,7;13,8
10;45;13:54:00;9,2;13,2
11;50;13:59:00;8,6;12,7
12;55;14:04:00;7,9;12,1
13;60;14:09:00;7,4;11,5
14;65;14:14:00;6,8;11,0
15;70;14:19:00;6,2;10,6
16;75;14:24:00;5,7;10,0
17;80;14:29:00;5,2;9,5
18;85;14:34:00;4,7;9,1
19;90;14:39:00;4,1;8,6
