Muestra;Tiempo [min];Hora;Temperatura Lauda [C];Temperatura Agua [C]
1;0;12:45;18,7;18,7
2;1;12:46;18,7;18,7
3;2;12:47;18,7;18,8
4;3;12:48;18,7;18,7
5;4;12:49;18,4;18,7
6;5;12:50;18,3;18,7
7;6;12:51;18,1;18,7
8;7;12:52;17,8;18,5
9;8;12:53;17,6;18,4
10;9;12:54;17,4;18,3
11;10;12:55;17,2;18,3
12;11;12:56;16,9;18,7
13;12;12:57;16,7;18,6
14;13;12:58;16,3;18,6
15;14;12:59;16,2;18,5
16;15;13:00;16,0;18,5
17;16;13:01;15,9;18,4
18;17;13:02;15,7;18,3
19;18;13:03;15,6;18,2
20;19;13:04;15,4;18,1
21;20;13:05;15,2;18,1
22;21;13:06;15,1;17,9
23;22;13:07;14,9;17,8
24;23;13:08;14,7;17,7
25;24;13:09;14,6;17,6
26;25;13:10;14,5;17,5
27;26;13:11;14,4;17,4
28;27;13:12;14,2;17,2
29;28;13:13;14,1;17,2
30;29;13:14;13,9;17,0
31;30;13:15;13,8;16,9
32;31;13:16;13,7;16,8
33;32;13:17;13,5;16,6
34;33;13:18;13,3;16,6
35;34;13:19;13,1;16,5
36;35;13:20;13,0;16,3
37;36;13:21;12,8;16,2
38;37;13:22;12,8;16,1
39;38;13:23;12,6;15,9
40;39;13:24;12,5;15,8
41;40;13:25;12,4;15,7
42;41;13:26;12,2;15,5
43;42;13:27;12,2;15,5
44;43;13:28;12,0;15,3
45;44;13:29;11,9;15,2
46;54;13:40;10,6;14,0
47;64;13:50;9,4;12,9
48;74;14:00;8,2;11,7
49;84;14:10;7,2;10,8
50;94;14:20;6,3;10,0
51;104;14:30;5,3;8,9
