Q_hot (L/min),D_in_cold (mm),D_out_cold (mm),V_vaso (mL),Tiempo de Enfriamiento (min)
5.0,8.0,10.0,200.0,5.66
5.0,10.0,12.0,200.0,10.54
5.0,13.6,16.0,200.0,18.01
5.0,17.0,20.0,200.0,23.23
5.0,22.0,25.0,200.0,29.2
5.0,27.2,32.0,200.0,34.68
5.0,34.0,40.0,200.0,41.43
5.0,42.6,50.0,200.0,48.15
5.0,53.6,63.0,200.0,53.15
5.0,63.8,75.0,200.0,56.06
5.0,76.6,90.0,200.0,59.01
5.0,93.6,110.0,200.0,62.76
5.0,106.4,125.0,200.0,88.32
5.0,119.2,140.0,200.0,94.02
5.0,8.0,10.0,300.0,8.49
5.0,10.0,12.0,300.0,15.81
5.0,13.6,16.0,300.0,27.02
5.0,17.0,20.0,300.0,34.85
5.0,22.0,25.0,300.0,43.8
5.0,27.2,32.0,300.0,52.03
5.0,34.0,40.0,300.0,62.15
5.0,42.6,50.0,300.0,72.23
5.0,53.6,63.0,300.0,79.73
5.0,63.8,75.0,300.0,84.09
5.0,76.6,90.0,300.0,88.52
5.0,93.6,110.0,300.0,94.14
5.0,106.4,125.0,300.0,132.47
5.0,119.2,140.0,300.0,141.02
5.0,8.0,10.0,400.0,11.32
5.0,10.0,12.0,400.0,21.08
5.0,13.6,16.0,400.0,36.03
5.0,17.0,20.0,400.0,46.46
5.0,22.0,25.0,400.0,58.4
5.0,27.2,32.0,400.0,69.37
5.0,34.0,40.0,400.0,82.87
5.0,42.6,50.0,400.0,96.31
5.0,53.6,63.0,400.0,106.31
5.0,63.8,75.0,400.0,112.12
5.0,76.6,90.0,400.0,118.02
5.0,93.6,110.0,400.0,125.52
5.0,106.4,125.0,400.0,176.63
5.0,119.2,140.0,400.0,188.03
5.0,8.0,10.0,500.0,14.15
5.0,10.0,12.0,500.0,26.35
5.0,13.6,16.0,500.0,45.03
5.0,17.0,20.0,500.0,58.08
5.0,22.0,25.0,500.0,73.0
5.0,27.2,32.0,500.0,86.71
5.0,34.0,40.0,500.0,103.58
5.0,42.6,50.0,500.0,120.39
5.0,53.6,63.0,500.0,132.88
5.0,63.8,75.0,500.0,140.15
5.0,76.6,90.0,500.0,147.53
5.0,93.6,110.0,500.0,156.91
5.0,106.4,125.0,500.0,220.79
5.0,119.2,140.0,500.0,235.04
5.0,8.0,10.0,600.0,16.98
5.0,10.0,12.0,600.0,31.62
5.0,13.6,16.0,600.0,54.04
5.0,17.0,20.0,600.0,69.7
5.0,22.0,25.0,600.0,87.59
5.0,27.2,32.0,600.0,104.05
5.0,34.0,40.0,600.0,124.3
5.0,42.6,50.0,600.0,144.46
5.0,53.6,63.0,600.0,159.46
5.0,63.8,75.0,600.0,168.19
5.0,76.6,90.0,600.0,177.04
5.0,93.6,110.0,600.0,188.29
5.0,106.4,125.0,600.0,264.95
5.0,119.2,140.0,600.0,282.05
5.0,8.0,10.0,700.0,19.81
5.0,10.0,12.0,700.0,36.89
5.0,13.6,16.0,700.0,63.05
5.0,17.0,20.0,700.0,81.31
5.0,22.0,25.0,700.0,102.19
5.0,27.2,32.0,700.0,121.39
5.0,34.0,40.0,700.0,145.02
5.0,42.6,50.0,700.0,168.54
5.0,53.6,63.0,700.0,186.03
5.0,63.8,75.0,700.0,196.22
5.0,76.6,90.0,700.0,206.54
5.0,93.6,110.0,700.0,219.67
5.0,106.4,125.0,700.0,309.1
5.0,119.2,140.0,700.0,329.05
5.0,8.0,10.0,800.0,22.64
5.0,10.0,12.0,800.0,42.16
5.0,13.6,16.0,800.0,72.05
5.0,17.0,20.0,800.0,92.93
5.0,22.0,25.0,800.0,116.79
5.0,27.2,32.0,800.0,138.73
5.0,34.0,40.0,800.0,165.74
5.0,42.6,50.0,800.0,192.62
5.0,53.6,63.0,800.0,212.61
5.0,63.8,75.0,800.0,224.25
5.0,76.6,90.0,800.0,236.05
5.0,93.6,110.0,800.0,251.05
5.0,106.4,125.0,800.0,353.26
5.0,119.2,140.0,800.0,376.06
5.0,8.0,10.0,900.0,25.47
5.0,10.0,12.0,900.0,47.43
5.0,13.6,16.0,900.0,81.06
5.0,17.0,20.0,900.0,104.55
5.0,22.0,25.0,900.0,131.39
5.0,27.2,32.0,900.0,156.08
5.0,34.0,40.0,900.0,186.45
5.0,42.6,50.0,900.0,216.7
5.0,53.6,63.0,900.0,239.19
5.0,63.8,75.0,900.0,252.28
5.0,76.6,90.0,900.0,265.56
5.0,93.6,110.0,900.0,282.43
5.0,106.4,125.0,900.0,397.42
5.0,119.2,140.0,900.0,423.07
5.0,8.0,10.0,1000.0,28.3
5.0,10.0,12.0,1000.0,52.7
5.0,13.6,16.0,1000.0,90.07
5.0,17.0,20.0,1000.0,116.16
5.0,22.0,25.0,1000.0,145.99
5.0,27.2,32.0,1000.0,173.42
5.0,34.0,40.0,1000.0,207.17
5.0,42.6,50.0,1000.0,240.77
5.0,53.6,63.0,1000.0,265.76
5.0,63.8,75.0,1000.0,280.31
5.0,76.6,90.0,1000.0,295.06
5.0,93.6,110.0,1000.0,313.81
5.0,106.4,125.0,1000.0,441.58
5.0,119.2,140.0,1000.0,470.08
10.0,8.0,10.0,200.0,5.29
10.0,10.0,12.0,200.0,10.17
10.0,13.6,16.0,200.0,17.64
10.0,17.0,20.0,200.0,22.86
10.0,22.0,25.0,200.0,28.83
10.0,27.2,32.0,200.0,34.31
10.0,34.0,40.0,200.0,41.06
10.0,42.6,50.0,200.0,47.79
10.0,53.6,63.0,200.0,52.78
10.0,63.8,75.0,200.0,55.69
10.0,76.6,90.0,200.0,58.64
10.0,93.6,110.0,200.0,62.39
10.0,106.4,125.0,200.0,87.95
10.0,119.2,140.0,200.0,93.65
10.0,8.0,10.0,300.0,7.94
10.0,10.0,12.0,300.0,15.26
10.0,13.6,16.0,300.0,26.47
10.0,17.0,20.0,300.0,34.29
10.0,22.0,25.0,300.0,43.24
10.0,27.2,32.0,300.0,51.47
10.0,34.0,40.0,300.0,61.6
10.0,42.6,50.0,300.0,71.68
10.0,53.6,63.0,300.0,79.18
10.0,63.8,75.0,300.0,83.54
10.0,76.6,90.0,300.0,87.96
10.0,93.6,110.0,300.0,93.59
10.0,106.4,125.0,300.0,131.92
10.0,119.2,140.0,300.0,140.47
10.0,8.0,10.0,400.0,10.58
10.0,10.0,12.0,400.0,20.34
10.0,13.6,16.0,400.0,35.29
10.0,17.0,20.0,400.0,45.73
10.0,22.0,25.0,400.0,57.66
10.0,27.2,32.0,400.0,68.63
10.0,34.0,40.0,400.0,82.13
10.0,42.6,50.0,400.0,95.57
10.0,53.6,63.0,400.0,105.57
10.0,63.8,75.0,400.0,111.39
10.0,76.6,90.0,400.0,117.29
10.0,93.6,110.0,400.0,124.79
10.0,106.4,125.0,400.0,175.89
10.0,119.2,140.0,400.0,187.29
10.0,8.0,10.0,500.0,13.23
10.0,10.0,12.0,500.0,25.43
10.0,13.6,16.0,500.0,44.11
10.0,17.0,20.0,500.0,57.16
10.0,22.0,25.0,500.0,72.07
10.0,27.2,32.0,500.0,85.78
10.0,34.0,40.0,500.0,102.66
10.0,42.6,50.0,500.0,119.46
10.0,53.6,63.0,500.0,131.96
10.0,63.8,75.0,500.0,139.23
10.0,76.6,90.0,500.0,146.61
10.0,93.6,110.0,500.0,155.98
10.0,106.4,125.0,500.0,219.86
10.0,119.2,140.0,500.0,234.12
10.0,8.0,10.0,600.0,15.87
10.0,10.0,12.0,600.0,30.51
10.0,13.6,16.0,600.0,52.93
10.0,17.0,20.0,600.0,68.59
10.0,22.0,25.0,600.0,86.49
10.0,27.2,32.0,600.0,102.94
10.0,34.0,40.0,600.0,123.19
10.0,42.6,50.0,600.0,143.36
10.0,53.6,63.0,600.0,158.35
10.0,63.8,75.0,600.0,167.08
10.0,76.6,90.0,600.0,175.93
10.0,93.6,110.0,600.0,187.18
10.0,106.4,125.0,600.0,263.84
10.0,119.2,140.0,600.0,280.94
10.0,8.0,10.0,700.0,18.52
10.0,10.0,12.0,700.0,35.6
10.0,13.6,16.0,700.0,61.75
10.0,17.0,20.0,700.0,80.02
10.0,22.0,25.0,700.0,100.9
10.0,27.2,32.0,700.0,120.1
10.0,34.0,40.0,700.0,143.73
10.0,42.6,50.0,700.0,167.25
10.0,53.6,63.0,700.0,184.74
10.0,63.8,75.0,700.0,194.92
10.0,76.6,90.0,700.0,205.25
10.0,93.6,110.0,700.0,218.38
10.0,106.4,125.0,700.0,307.81
10.0,119.2,140.0,700.0,327.76
10.0,8.0,10.0,800.0,21.16
10.0,10.0,12.0,800.0,40.68
10.0,13.6,16.0,800.0,70.58
10.0,17.0,20.0,800.0,91.45
10.0,22.0,25.0,800.0,115.32
10.0,27.2,32.0,800.0,137.26
10.0,34.0,40.0,800.0,164.26
10.0,42.6,50.0,800.0,191.14
10.0,53.6,63.0,800.0,211.13
10.0,63.8,75.0,800.0,222.77
10.0,76.6,90.0,800.0,234.57
10.0,93.6,110.0,800.0,249.57
10.0,106.4,125.0,800.0,351.78
10.0,119.2,140.0,800.0,374.58
10.0,8.0,10.0,900.0,23.81
10.0,10.0,12.0,900.0,45.77
10.0,13.6,16.0,900.0,79.4
10.0,17.0,20.0,900.0,102.88
10.0,22.0,25.0,900.0,129.73
10.0,27.2,32.0,900.0,154.41
10.0,34.0,40.0,900.0,184.79
10.0,42.6,50.0,900.0,215.03
10.0,53.6,63.0,900.0,237.53
10.0,63.8,75.0,900.0,250.62
10.0,76.6,90.0,900.0,263.89
10.0,93.6,110.0,900.0,280.77
10.0,106.4,125.0,900.0,395.76
10.0,119.2,140.0,900.0,421.41
10.0,8.0,10.0,1000.0,26.45
10.0,10.0,12.0,1000.0,50.85
10.0,13.6,16.0,1000.0,88.22
10.0,17.0,20.0,1000.0,114.32
10.0,22.0,25.0,1000.0,144.14
10.0,27.2,32.0,1000.0,171.57
10.0,34.0,40.0,1000.0,205.32
10.0,42.6,50.0,1000.0,238.93
10.0,53.6,63.0,1000.0,263.92
10.0,63.8,75.0,1000.0,278.46
10.0,76.6,90.0,1000.0,293.21
10.0,93.6,110.0,1000.0,311.96
10.0,106.4,125.0,1000.0,439.73
10.0,119.2,140.0,1000.0,468.23
15.0,8.0,10.0,200.0,5.15
15.0,10.0,12.0,200.0,10.03
15.0,13.6,16.0,200.0,17.51
15.0,17.0,20.0,200.0,22.73
15.0,22.0,25.0,200.0,28.69
15.0,27.2,32.0,200.0,34.18
15.0,34.0,40.0,200.0,40.93
15.0,42.6,50.0,200.0,47.65
15.0,53.6,63.0,200.0,52.65
15.0,63.8,75.0,200.0,55.56
15.0,76.6,90.0,200.0,58.51
15.0,93.6,110.0,200.0,62.26
15.0,106.4,125.0,200.0,87.81
15.0,119.2,140.0,200.0,93.51
15.0,8.0,10.0,300.0,7.73
15.0,10.0,12.0,300.0,15.05
15.0,13.6,16.0,300.0,26.26
15.0,17.0,20.0,300.0,34.09
15.0,22.0,25.0,300.0,43.04
15.0,27.2,32.0,300.0,51.27
