Aletas,D_in_PVC (mm),D_out_PVC (mm),D_aleta (mm),Proporción Serpentín,C_coil (mm),T_out_hot (°C),UA Total (W/K),Efectividad,Altura Serpentín (m),Número de Vueltas
0,8.0,10.0,6.985,0.9,7.2,9.5428,78.4267,0.6536,0.375,38.7073
0,8.0,10.0,7.62,0.9,7.2,9.5428,78.4267,0.6536,0.375,38.7073
0,8.0,10.0,8.255,0.9,7.2,9.5428,78.4267,0.6536,0.375,38.7073
0,8.0,10.0,8.89,0.9,7.2,9.5428,78.4267,0.6536,0.375,38.7073
0,8.0,10.0,9.525,0.9,7.2,9.5428,78.4267,0.6536,0.375,38.7073
0,8.0,10.0,10.16,0.9,7.2,9.5428,78.4267,0.6536,0.375,38.7073
0,8.0,10.0,10.795,0.9,7.2,9.5428,78.4267,0.6536,0.375,38.7073
0,8.0,10.0,11.43,0.9,7.2,9.5428,78.4267,0.6536,0.375,38.7073
0,8.0,10.0,12.065,0.9,7.2,9.5428,78.4267,0.6536,0.375,38.7073
0,10.0,12.0,6.985,0.7,7.0,11.5127,55.154,0.5305,0.3839,39.6406
0,10.0,12.0,7.62,0.7,7.0,11.5127,55.154,0.5305,0.3839,39.6406
0,10.0,12.0,8.255,0.7,7.0,11.5127,55.154,0.5305,0.3839,39.6406
0,10.0,12.0,8.89,0.7,7.0,11.5127,55.154,0.5305,0.3839,39.6406
0,10.0,12.0,9.525,0.7,7.0,11.5127,55.154,0.5305,0.3839,39.6406
0,10.0,12.0,10.16,0.7,7.0,11.5127,55.154,0.5305,0.3839,39.6406
0,10.0,12.0,10.795,0.7,7.0,11.5127,55.154,0.5305,0.3839,39.6406
0,10.0,12.0,11.43,0.7,7.0,11.5127,55.154,0.5305,0.3839,39.6406
0,10.0,12.0,12.065,0.7,7.0,11.5127,55.154,0.5305,0.3839,39.6406
0,10.0,12.0,6.985,0.8,8.0,11.6066,54.2141,0.5246,0.343,35.346
0,10.0,12.0,7.62,0.8,8.0,11.6066,54.2141,0.5246,0.343,35.346
0,10.0,12.0,8.255,0.8,8.0,11.6066,54.2141,0.5246,0.343,35.346
0,10.0,12.0,8.89,0.8,8.0,11.6066,54.2141,0.5246,0.343,35.346
0,10.0,12.0,9.525,0.8,8.0,11.6066,54.2141,0.5246,0.343,35.346
0,10.0,12.0,10.16,0.8,8.0,11.6066,54.2141,0.5246,0.343,35.346
0,10.0,12.0,10.795,0.8,8.0,11.6066,54.2141,0.5246,0.343,35.346
0,10.0,12.0,11.43,0.8,8.0,11.6066,54.2141,0.5246,0.343,35.346
0,10.0,12.0,12.065,0.8,8.0,11.6066,54.2141,0.5246,0.343,35.346
0,10.0,12.0,6.985,0.9,9.0,11.6903,53.3862,0.5194,0.3096,31.8411
0,10.0,12.0,7.62,0.9,9.0,11.6903,53.3862,0.5194,0.3096,31.8411
0,10.0,12.0,8.255,0.9,9.0,11.6903,53.3862,0.5194,0.3096,31.8411
0,10.0,12.0,8.89,0.9,9.0,11.6903,53.3862,0.5194,0.3096,31.8411
0,10.0,12.0,9.525,0.9,9.0,11.6903,53.3862,0.5194,0.3096,31.8411
0,10.0,12.0,10.16,0.9,9.0,11.6903,53.3862,0.5194,0.3096,31.8411
0,10.0,12.0,10.795,0.9,9.0,11.6903,53.3862,0.5194,0.3096,31.8411
0,10.0,12.0,11.43,0.9,9.0,11.6903,53.3862,0.5194,0.3096,31.8411
0,10.0,12.0,12.065,0.9,9.0,11.6903,53.3862,0.5194,0.3096,31.8411
0,13.6,16.0,6.985,0.6,8.16,14.3443,31.2683,0.3535,0.3372,34.7378
0,13.6,16.0,7.62,0.6,8.16,14.3443,31.2683,0.3535,0.3372,34.7378
0,13.6,16.0,8.255,0.6,8.16,14.3443,31.2683,0.3535,0.3372,34.7378
0,13.6,16.0,8.89,0.6,8.16,14.3443,31.2683,0.3535,0.3372,34.7378
0,13.6,16.0,9.525,0.6,8.16,14.3443,31.2683,0.3535,0.3372,34.7378
0,13.6,16.0,10.16,0.6,8.16,14.3443,31.2683,0.3535,0.3372,34.7378
0,13.6,16.0,10.795,0.6,8.16,14.3443,31.2683,0.3535,0.3372,34.7378
0,13.6,16.0,11.43,0.6,8.16,14.3443,31.2683,0.3535,0.3372,34.7378
0,13.6,16.0,12.065,0.6,8.16,14.3443,31.2683,0.3535,0.3372,34.7378
0,13.6,16.0,6.985,0.7,9.52,14.3958,30.9031,0.3503,0.2946,30.2663
0,13.6,16.0,7.62,0.7,9.52,14.3958,30.9031,0.3503,0.2946,30.2663
0,13.6,16.0,8.255,0.7,9.52,14.3958,30.9031,0.3503,0.2946,30.2663
0,13.6,16.0,8.89,0.7,9.52,14.3958,30.9031,0.3503,0.2946,30.2663
0,13.6,16.0,9.525,0.7,9.52,14.3958,30.9031,0.3503,0.2946,30.2663
0,13.6,16.0,10.16,0.7,9.52,14.3958,30.9031,0.3503,0.2946,30.2663
0,13.6,16.0,10.795,0.7,9.52,14.3958,30.9031,0.3503,0.2946,30.2663
0,13.6,16.0,11.43,0.7,9.52,14.3958,30.9031,0.3503,0.2946,30.2663
0,13.6,16.0,12.065,0.7,9.52,14.3958,30.9031,0.3503,0.2946,30.2663
0,13.6,16.0,6.985,0.8,10.88,14.4412,30.5825,0.3474,0.2614,26.7735
0,13.6,16.0,7.62,0.8,10.88,14.4412,30.5825,0.3474,0.2614,26.7735
0,13.6,16.0,8.255,0.8,10.88,14.4412,30.5825,0.3474,0.2614,26.7735
0,13.6,16.0,8.89,0.8,10.88,14.4412,30.5825,0.3474,0.2614,26.7735
0,13.6,16.0,9.525,0.8,10.88,14.4412,30.5825,0.3474,0.2614,26.7735
0,13.6,16.0,10.16,0.8,10.88,14.4412,30.5825,0.3474,0.2614,26.7735
